Index,Symbol,Date,Close,Polarity
0,A,2009-06-25,19.96,0
1,A,2009-06-24,19.01,1
2,A,2009-06-23,18.55,1
3,A,2009-06-22,18.4,1
4,A,2009-06-19,18.89,0
5,A,2009-06-18,18.72,1
6,A,2009-06-17,18.38,1
7,A,2009-06-16,18.57,0
8,A,2009-06-15,18.89,0
9,A,2009-06-12,19.36,0
10,A,2009-06-11,19.72,0
11,A,2009-06-10,19.45,1
12,A,2009-06-09,19.72,0
13,A,2009-06-08,19.64,1
14,A,2009-06-05,19.9,0
15,A,2009-06-04,20.04,0
16,A,2009-06-03,19.33,1
17,A,2009-06-02,19.55,0
18,A,2009-06-01,18.88,1
19,A,2009-05-29,18.23,1
20,A,2009-05-28,17.98,1
21,A,2009-05-27,17.89,1
22,A,2009-05-26,18.05,0
23,A,2009-05-22,17.69,1
24,A,2009-05-21,17.68,1
25,A,2009-05-20,18.64,0
26,A,2009-05-19,18.37,1
27,A,2009-05-18,17.87,1
28,A,2009-05-15,17.65,1
29,A,2009-05-14,18.33,0
30,A,2009-05-13,18.05,1
31,A,2009-05-12,18.99,0
32,A,2009-05-11,18.84,1
33,A,2009-05-08,19.34,0
34,A,2009-05-07,18.77,1
35,A,2009-05-06,19.23,0
36,A,2009-05-05,18.73,1
37,A,2009-05-04,19.42,0
38,A,2009-05-01,18.81,1
39,A,2009-04-30,18.26,1
40,A,2009-04-29,18.03,1
41,A,2009-04-28,17.04,1
42,A,2009-04-27,16.92,1
43,A,2009-04-24,16.9,1
44,A,2009-04-23,16.4,1
45,A,2009-04-22,16.76,0
46,A,2009-04-21,16.6,1
47,A,2009-04-20,16.42,1
48,A,2009-04-17,17.01,0
49,A,2009-04-16,16.82,1
50,A,2009-04-15,16.36,1
51,A,2009-04-14,16.52,0
52,A,2009-04-13,16.68,0
53,A,2009-04-09,17.0,0
54,A,2009-04-08,16.2,1
55,A,2009-04-07,15.6,1
56,A,2009-04-06,15.98,0
57,AA,2009-06-25,10.72,1
58,AA,2009-06-24,10.21,1
59,AA,2009-06-23,10.0,1
60,AA,2009-06-22,10.02,0
61,AA,2009-06-19,11.0,0
62,AA,2009-06-18,10.78,1
63,AA,2009-06-17,10.49,1
64,AA,2009-06-16,10.9,0
65,AA,2009-06-15,11.21,0
66,AA,2009-06-12,11.99,0
67,AA,2009-06-11,12.22,0
68,AA,2009-06-10,11.49,1
69,AA,2009-06-09,11.15,1
70,AA,2009-06-08,10.77,1
71,AA,2009-06-05,10.94,0
72,AA,2009-06-04,10.69,1
73,AA,2009-06-03,10.07,1
74,AA,2009-06-02,10.52,0
75,AA,2009-06-01,9.83,1
76,AA,2009-05-29,9.22,1
77,AA,2009-05-28,9.09,1
78,AA,2009-05-27,9.05,1
79,AA,2009-05-26,9.27,0
80,AA,2009-05-22,8.86,1
81,AA,2009-05-21,9.1,0
82,AA,2009-05-20,9.49,0
83,AA,2009-05-19,9.68,0
84,AA,2009-05-18,9.49,1
85,AA,2009-05-15,9.03,1
86,AA,2009-05-14,8.74,1
87,AA,2009-05-13,8.63,1
88,AA,2009-05-12,9.46,0
89,AA,2009-05-11,9.59,0
90,AA,2009-05-08,10.01,0
91,AA,2009-05-07,9.85,1
92,AA,2009-05-06,10.5,0
93,AA,2009-05-05,10.13,1
94,AA,2009-05-04,10.36,0
95,AA,2009-05-01,9.69,1
96,AA,2009-04-30,9.07,1
97,AA,2009-04-29,8.8,1
98,AA,2009-04-28,8.52,1
99,AA,2009-04-27,8.79,0
100,AA,2009-04-24,9.14,0
101,AA,2009-04-23,8.9,1
102,AA,2009-04-22,8.64,1
103,AA,2009-04-21,8.69,0
104,AA,2009-04-20,8.36,1
105,AA,2009-04-17,9.26,0
106,AA,2009-04-16,9.15,1
107,AA,2009-04-15,9.05,1
108,AA,2009-04-14,8.83,1
109,AA,2009-04-13,9.15,0
110,AA,2009-04-09,8.85,1
111,AA,2009-04-08,8.06,1
112,AA,2009-04-07,7.79,1
113,AA,2009-04-06,7.91,0
114,AAPL,2009-06-25,139.86,0
115,AAPL,2009-06-24,136.22,1
116,AAPL,2009-06-23,134.01,1
117,AAPL,2009-06-22,137.37,0
118,AAPL,2009-06-19,139.48,0
119,AAPL,2009-06-18,135.88,1
120,AAPL,2009-06-17,135.58,1
121,AAPL,2009-06-16,136.35,0
122,AAPL,2009-06-15,136.09,1
123,AAPL,2009-06-12,136.97,0
124,AAPL,2009-06-11,139.95,0
125,AAPL,2009-06-10,140.25,0
126,AAPL,2009-06-09,142.72,0
127,AAPL,2009-06-08,143.85,0
128,AAPL,2009-06-05,144.67,0
129,AAPL,2009-06-04,143.74,1
130,AAPL,2009-06-03,140.95,1
131,AAPL,2009-06-02,139.49,1
132,AAPL,2009-06-01,139.35,1
133,AAPL,2009-05-29,135.81,1
134,AAPL,2009-05-28,135.07,1
135,AAPL,2009-05-27,133.05,1
136,AAPL,2009-05-26,130.78,1
137,AAPL,2009-05-22,122.5,1
138,AAPL,2009-05-21,124.18,0
139,AAPL,2009-05-20,125.87,0
140,AAPL,2009-05-19,127.45,0
141,AAPL,2009-05-18,126.65,1
142,AAPL,2009-05-15,122.42,1
143,AAPL,2009-05-14,122.95,0
144,AAPL,2009-05-13,119.49,1
145,AAPL,2009-05-12,124.42,0
146,AAPL,2009-05-11,129.57,0
147,AAPL,2009-05-08,129.19,1
148,AAPL,2009-05-07,129.06,1
149,AAPL,2009-05-06,132.5,0
150,AAPL,2009-05-05,132.71,0
151,AAPL,2009-05-04,132.07,1
152,AAPL,2009-05-01,127.24,1
153,AAPL,2009-04-30,125.83,1
154,AAPL,2009-04-29,125.14,1
155,AAPL,2009-04-28,123.9,1
156,AAPL,2009-04-27,124.73,0
157,AAPL,2009-04-24,123.9,1
158,AAPL,2009-04-23,125.4,0
159,AAPL,2009-04-22,121.51,1
160,AAPL,2009-04-21,121.76,0
161,AAPL,2009-04-20,120.5,1
162,AAPL,2009-04-17,123.42,0
163,AAPL,2009-04-16,121.45,1
164,AAPL,2009-04-15,117.64,1
165,AAPL,2009-04-14,118.31,0
166,AAPL,2009-04-13,120.22,0
167,AAPL,2009-04-09,119.57,1
168,AAPL,2009-04-08,116.32,1
169,AAPL,2009-04-07,115.0,1
170,AAPL,2009-04-06,118.45,0
171,ABC,2009-06-25,18.26,1
172,ABC,2009-06-24,17.5,1
173,ABC,2009-06-23,17.68,0
174,ABC,2009-06-22,18.0,0
175,ABC,2009-06-19,18.31,0
176,ABC,2009-06-18,18.4,0
177,ABC,2009-06-17,18.24,1
178,ABC,2009-06-16,17.79,1
179,ABC,2009-06-15,35.82,0
180,ABC,2009-06-12,36.55,0
181,ABC,2009-06-11,36.99,0
182,ABC,2009-06-10,35.96,1
183,ABC,2009-06-09,35.74,1
184,ABC,2009-06-08,36.36,0
185,ABC,2009-06-05,36.38,0
186,ABC,2009-06-04,36.36,1
187,ABC,2009-06-03,37.15,0
188,ABC,2009-06-02,37.86,0
189,ABC,2009-06-01,37.65,1
190,ABC,2009-05-29,37.1,1
191,ABC,2009-05-28,36.87,1
192,ABC,2009-05-27,36.73,1
193,ABC,2009-05-26,37.38,0
194,ABC,2009-05-22,36.58,1
195,ABC,2009-05-21,36.37,1
196,ABC,2009-05-20,36.95,0
197,ABC,2009-05-19,35.96,1
198,ABC,2009-05-18,35.58,1
199,ABC,2009-05-15,34.99,1
200,ABC,2009-05-14,35.73,0
201,ABC,2009-05-13,35.69,1
202,ABC,2009-05-12,35.9,0
203,ABC,2009-05-11,35.66,1
204,ABC,2009-05-08,36.29,0
